,Away_team,Away_abr,Away_line,Away_tor,Away_hca,Away_sportsref,Away_sos,Away,Away_Record,Away_Spread,Home_team,Home_abr,Home_line,Home_tor,Home_hca,Home_sportsref,Home_sos,Away_odds,Home,Home_Record,Home_Spread,Home_odds
0,Boston University,BSTN,Boston U.,Boston University,Boston U,Boston University,Boston U,Boston U.,9-15,-1.5,Army West Point,USMA,Army,Army,Army,Army,Army,-110,Army,5-17,+1.5,-110
3,Michigan State,MCHST,Michigan St.,Michigan St.,Michigan St,Michigan State,Michigan St,Michigan St.,15-9,-3.5,Penn State,PENST,Penn St.,Penn St.,Penn St,Penn State,Penn St,-105,Penn St.,11-12,+3.5,-115
7,IUPUI,IUPUI,IUPUI,IUPUI,Indiana Purdue,IUPUI,IUPUI,IUPUI,3-20,+5.5,Detroit-Mercy,UDM,Detroit,Detroit,Detroit,Detroit Mercy,Detroit,-106,Detroit,0-26,-5.5,-114
8,Northern Kentucky,NKU,N. Kentucky,Northern Kentucky,,Northern Kentucky,N Kentucky,N. Kentucky,11-12,+3.5,Green Bay,UWGB,Green Bay,Green Bay,,Green Bay,WI-Grn Bay,-115,Green Bay,15-9,-3.5,-105
9,St. Bonaventure,STBN,St. Bona.,St. Bonaventure,St Bonaventure,St. Bonaventure,St Bonavent,St. Bona.,14-9,-4.5,Fordham,FORD,Fordham,Fordham,Fordham,Fordham,Fordham,-102,Fordham,10-13,+4.5,-120
11,Chicago State,CHIST,Chicago St.,Chicago St.,Chicago St,Chicago State,Chicago St,Chicago St.,9-17,+11.5,Eastern Kentucky,EKU,E. Kentucky,Eastern Kentucky,Eastern Kentucky,Eastern Kentucky,E Kentucky,-114,E. Kentucky,10-11,-11.5,-106
12,American University,AMERU,American,American,American U,American,American,American,12-12,-1.5,Navy,USNA,Navy,Navy,Navy,Navy,Navy,-112,Navy,7-15,+1.5,-108
13,Milwaukee,UWM,Milwaukee,Milwaukee,Wis Milwaukee,Milwaukee,WI-Milwkee,Milwaukee,10-13,+3.5,Cleveland State,CLEST,Clev. St.,Cleveland St.,Cleveland St,Cleveland State,Cleveland St,-105,Clev. St.,14-10,-3.5,-115
14,UNC Greensboro,UNCG,UNCG,UNC Greensboro,NC Greensboro,UNC Greensboro,NC-Grnsboro,UNCG,15-8,-5.5,The Citadel,CTDL,The Citadel,The Citadel,Citadel,The Citadel,Citadel,-115,The Citadel,6-16,+5.5,-105
15,Miami (FL),UMFL,Miami,Miami FL,Miami Florida,Miami (FL),Miami,Miami,15-9,+7.5,Clemson,CLEM,Clemson,Clemson,Clemson,Clemson,Clemson,-115,Clemson,16-7,-7.5,-105
16,East Tennessee State,ETSU,ETSU,East Tennessee St.,East Tennessee St,ETSU,E Tenn St,ETSU,11-12,+7.5,Chattanooga,CHATT,Chattanooga,Chattanooga,Chattanooga,Chattanooga,Chattanooga,-110,Chattanooga,15-8,-7.5,-110
17,Oakland,OAKL,Oakland,Oakland,Oakland,Oakland,Oakland,Oakland,16-10,+1.5,Fort Wayne,IPFW,PFW,Fort Wayne,IUPU Ft Wayne,Purdue Fort Wayne,IPFW,-122,PFW,14-9,-1.5,+100
18,Jacksonville,JAC,Jacksonville,Jacksonville,Jacksonville,Jacksonville,Jacksonville,Jacksonville,10-12,+5.5,Kennesaw State,KENN,Kennesaw St.,Kennesaw St.,Kennesaw St,Kennesaw State,Kennesaw St,-114,Kennesaw St.,10-12,-5.5,-108
19,North Florida,UNF,North Florida,North Florida,North Florida,North Florida,N Florida,North Florida,10-13,+2.5,Queens University,QUC,Queens,Queens,,Queens (NC),Queens,-102,Queens,8-16,-2.5,-120
22,Xavier,XAV,Xavier,Xavier,Xavier,Xavier,Xavier,Xavier,13-11,+2.5,Seton Hall,SETON,Seton Hall,Seton Hall,Seton Hall,Seton Hall,Seton Hall,-110,Seton Hall,15-9,-2.5,-110
23,Virginia Military,VMI,VMI,VMI,VMI,VMI,VMI,VMI,1-21,+23.5,Furman,FRMN,Furman,Furman,Furman,Furman,Furman,-112,Furman,11-11,-23.5,-108
25,Illinois-Chicago,UIC,UIC,Illinois Chicago,Illinois Chicago,UIC,IL-Chicago,UIC,9-15,+14.5,Bradley,BRDLY,Bradley,Bradley,Bradley,Bradley,Bradley,-110,Bradley,16-8,-14.5,-110
27,Northern Iowa,UNI,N. Iowa,Northern Iowa,Northern Iowa,Northern Iowa,N Iowa,N. Iowa,12-12,-7.5,Valparaiso,VAL,Valparaiso,Valparaiso,Valparaiso,Valparaiso,Valparaiso,-110,Valparaiso,5-19,+7.5,-110
28,Missouri State,MZZST,Missouri St.,Missouri St.,Missouri St,Missouri State,Missouri St,Missouri St.,14-11,+3.5,Murray State,MRRY,Murray St.,Murray St.,Murray St,Murray State,Murray St,-110,Murray St.,9-15,-3.5,-110
29,Iowa,IOWA,Iowa,Iowa,Iowa,Iowa,Iowa,Iowa,14-10,+5.5,Maryland,UMD,Maryland,Maryland,Maryland,Maryland,Maryland,-120,Maryland,13-11,-5.5,-102
30,South Carolina,SOCAR,South Carolina,South Carolina,South Carolina,South Carolina,S Carolina,South Carolina,21-3,+11.5,Auburn,AUB,Auburn,Auburn,Auburn,Auburn,Auburn,-110,Auburn,19-5,-11.5,-110
31,Oregon State,ORST,Oregon St.,Oregon St.,Oregon St,Oregon State,Oregon St,Oregon St.,10-13,+6.5,Arizona State,ASU,Arizona St.,Arizona St.,Arizona St,Arizona State,Arizona St,-105,Arizona St.,12-12,-6.5,-115
32,UConn,UConn,UConn,Connecticut,Connecticut,UConn,Connecticut,UConn,22-2,-24.5,DePaul,DEP,DePaul,DePaul,DePaul,DePaul,DePaul,-110,DePaul,3-20,+24.5,-110
34,Tennessee,TENN,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee,17-6,-8.5,Arkansas,ARK,Arkansas,Arkansas,Arkansas,Arkansas,Arkansas,-110,Arkansas,12-11,+8.5,-110
36,UNLV,UNLV,UNLV,UNLV,UNLV,UNLV,UNLV,UNLV,11-9,-4.5,Fresno State,FRSNO,Fresno St.,Fresno St.,Fresno St,Fresno State,Fresno St,-115,Fresno St.,10-13,+4.5,-105
