,Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
127,124,Vermont,AE,23,19-6  9–1,105.9,101.7,.6159,52.5,47.8,13.6,14.1,22.3,23.2,26.3,24.7,54.1,46.7,33.6,33.1,43.9,35.9,63.2,-2
128,125,UAB,Amer,23,16-8  8–3,110.9,106.5,.6154,49.1,50.8,17.1,16.3,35.4,31.1,40,31.4,49.8,50.3,31.6,34.4,31.4,36.9,67.8,-1.9
129,Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,Efg%,EfgD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj,WAB
130,126,South Florida,Amer,22,17-5  10–1,108.4,104.3,.6111,51,48.4,15.4,18.8,28.7,29.6,36.7,33.8,49.1,48.9,35.7,31.7,41.4,38.1,67.9,-0.8
131,127,Northern Iowa,MVC,24,13-12  7–7,107.4,103.4,.6084,51.5,52.4,15.6,16.5,22.9,22.7,35.6,31.4,51.7,52.1,34.1,35.1,37.7,40.7,66,-5
132,128,Drexel,CAA,24,15-10  8–4,106.9,102.9,.6079,49.6,46.6,16.8,13.5,34.8,25,29.2,26.7,50.2,46.2,32.2,31.6,32.2,36.8,64,-5.5
133,129,Youngstown St.,Horz,22,18-8  10–5,108.5,104.8,.5994,50.9,49.3,15.3,16.7,32.9,28,29.6,31.2,52.1,47.5,32.9,35.1,42.7,35.5,69.3,-4.4
134,130,Santa Clara,WCC,24,15-10  6–4,109.1,105.5,.5954,53.1,48.3,19.2,14.9,34.4,28.2,31.1,34.1,53.1,48.2,35.5,32.3,39.1,38.5,69.1,-3
135,131,Western Kentucky,CUSA,21,17-7  6–4,104.7,101.4,.5909,51.6,47.7,18.7,18.5,28.8,27.4,31.4,31.9,51.4,49.1,34.6,30.3,30.2,39.2,75.3,-3.5
136,132,St. Thomas,Sum,23,16-10  6–5,107.9,104.6,.5900,53.9,51.1,15,18.8,24.5,27.4,30.8,29.5,55.3,51.5,34.9,33.7,47,38.7,63.4,-6.7
137,133,Tulane,Amer,22,13-10  4–7,111.1,107.7,.5891,55,50.3,14.1,17.9,19.4,33.4,46.5,32.1,56.2,50.6,35.3,33.3,36.4,43.3,72.8,-4.7
138,134,Delaware,CAA,24,16-9  8–4,107.7,104.8,.5781,52.9,48.7,15.3,16,27.6,28.6,31.5,27.8,53,49.7,35.2,31.5,35.4,37.1,67.9,-5.1
139,135,Wichita St.,Amer,23,10-14  2–9,105.4,102.6,.5779,49.5,48.6,17.9,14.9,31.7,29.1,26.7,25.6,50.7,48.1,31.3,33,31.8,39.9,69.1,-8.2
140,136,Chattanooga,SC,23,17-8  9–3,110.5,107.6,.5746,55.5,50.1,16.7,15,26.3,27.4,28.9,28.6,57.5,49,35.6,34.5,49.8,42,66.9,-3.7
141,137,Georgia Tech,ACC,24,10-14  3–10,108.1,105.4,.5732,48.2,48.7,17.4,13.4,32.1,30.5,30.8,33.9,48,49.3,32.4,31.7,40.3,38.5,67.7,-5.2
142,138,Oakland,Horz,26,16-10  11–4,109.0,106.3,.5717,51.5,51.5,16.4,16.4,31,29.5,29.5,27.4,51.7,51.6,34.2,34.2,40.5,41.8,67.2,-3.7
143,139,Towson,CAA,24,15-10  8–4,104.2,101.6,.5713,46.6,49.2,18.4,17.3,39.8,27.2,36.1,32,44.9,48.6,33.2,33.6,34.6,35.4,62,-4.6
144,140,Hofstra,CAA,24,15-10  8–4,106.1,103.6,.5689,54.7,48.5,16.1,17.4,23,30.8,21.3,29.9,54.9,46.6,36.4,34.1,47.1,42.5,66,-5.2
145,141,Missouri,SEC,24,8-16  0–11,107.3,104.8,.5671,50.8,50.5,16.7,19.1,26.2,34.9,28.2,39.1,52.3,50.8,32.4,33.3,40.8,39.2,67.1,-7.5
146,142,Winthrop,BSth,23,15-11  6–5,106.4,104.0,.5658,51.8,48.5,18.9,18.5,29.9,33.5,51.2,34.3,51.8,50.7,34.5,30.3,38.7,40.9,67.4,-6.1
147,143,West Virginia,B12,24,8-16  3–8,105.3,103.0,.5645,47.4,50.5,17.8,15.2,26.7,29.6,36.6,26,46.4,50.3,32.8,33.9,37.2,40.9,68.6,-6.7
148,144,Belmont,MVC,24,14-11  7–7,108.6,106.3,.5613,54.8,53.8,17.5,17.2,20.9,27.6,31.6,28,54,55.1,37.4,34.6,40.9,40.9,71.2,-4.9
149,145,Weber St.,BSky,22,16-9  7–5,108.3,106.1,.5599,52.7,52.8,15.1,18.2,24,24,37.4,28.6,53.5,54.4,34.4,33.2,39.3,35.5,65.1,-5
150,146,Notre Dame,ACC,24,8-16  3–10,99.1,97.1,.5592,46.8,47.6,20.6,16.1,28.9,26.2,26.3,27.2,47.9,45.9,30.3,33.7,43.8,36.5,64.3,-7.6
151,147,UNC Asheville,BSth,23,17-9  9–2,108.1,106.1,.5530,52.3,50.6,18.1,16.7,28.7,31.7,44.4,34.7,49.8,52.9,37.8,30.9,36,35.3,68.9,-4.3
152,148,Missouri St.,MVC,25,14-11  6–8,104.3,102.5,.5507,49.7,47.3,17.2,13.3,28.8,24.2,31.8,26.2,51.1,46.5,31.7,32.5,38.9,37.2,67.9,-5
153,149,UNC Greensboro,SC,23,17-8  8–4,108.9,107.0,.5503,52.8,49.8,15.9,16.7,29.1,30.4,27.3,35.7,48.9,48.9,38.5,33.9,43.5,46.2,65,-3.3
154,150,UC Davis,BW,22,15-9  10–3,102.5,100.9,.5449,50.4,48.9,20,21.3,29.2,28.9,40.1,39.9,50.9,48.7,33,32.8,37.4,33.6,68.4,-5.6
155,Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,Efg%,EfgD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj,WAB
156,151,UT Arlington,WAC,22,12-12  7–6,102.8,101.8,.5285,49.5,48.5,22.7,18.6,32.5,30,38.6,40.5,48.7,46.3,33.7,35.2,42.7,34.4,71,-5.7
157,152,Bryant,AE,23,16-9  8–2,100.6,99.9,.5218,50.5,44.6,15.5,17,19.3,30.9,30.9,35.8,51.4,44.7,32.6,29.6,38.5,35.2,74.4,-4.2
158,153,Toledo,MAC,24,15-9  9–2,111.8,111.0,.5199,53.4,55.7,15,18.8,28.9,28.5,35.8,25.4,52.4,57.8,37.2,34.7,27.7,36.6,69.5,-4.2
159,154,UMass Lowell,AE,20,16-7  7–3,104.9,104.4,.5142,50.7,46.9,18.1,16.4,31.2,27.5,35.8,27.1,52.9,48.7,30.1,29,27.9,34.1,69.3,-4.4
160,155,Arkansas St.,SB,25,11-14  6–6,113.2,112.6,.5133,52.3,50.1,16.9,13.8,33.3,30.6,34.2,38.7,51.5,49.3,35.5,34.9,45.6,27.4,68.8,-8.9
161,156,East Carolina,Amer,23,12-12  5–6,103.6,103.1,.5132,46.7,49.8,15.7,19.5,33.8,32.3,33.3,32.1,47.9,52.3,29.9,31,36.9,42.9,65,-7
162,157,Montana,BSky,22,16-9  7–5,110.2,109.8,.5101,53,52.5,14,14.7,25.2,24.7,27,34.1,53.5,51.8,34.6,36.2,36,31.2,66.3,-4.4
163,158,Quinnipiac,MAAC,23,19-5  11–2,105.0,104.7,.5096,50,49.2,17.1,17.7,31.3,28.1,32.9,28.5,49.5,48.7,34.1,33.3,34.7,37.1,71.6,-2
164,159,Wright St.,Horz,24,14-12  9–6,116.0,115.7,.5088,58,55.7,16.6,15.9,29.1,29.4,32.7,30.5,58.9,55.2,37,37.7,28.8,37.9,71.1,-7.8
165,160,Stephen F. Austin,WAC,22,14-10  7–6,102.3,102.1,.5079,49.8,48.5,22.5,23.2,35.4,30,41.8,49.9,50.9,44.4,31.7,37.1,32.2,35.9,70.6,-6.3
166,161,Oregon St.,P12,23,11-13  3–10,104.6,104.5,.5028,49.2,49.8,19,16.9,26,31.7,38.6,37.3,49,50.8,33.1,32.2,33.8,37.8,65.2,-5.3
167,162,South Dakota St.,Sum,22,14-11  7–3,107.4,107.3,.5020,54.2,51.8,17.1,17.1,25.8,26.9,29.5,28.9,54.9,48.8,35.4,36.8,39.5,46.9,68.9,-7.3
168,163,Furman,SC,22,13-12  7–5,107.4,107.4,.5012,52.4,52.7,16.7,16.2,29.6,27.4,31.2,27.4,54,54.4,33.7,33,46.6,34.1,70.2,-7.9
169,164,Tarleton St.,WAC,21,17-7  10–3,105.9,105.9,.4986,48.7,50.5,18,20.3,31.2,33.4,28.7,36.8,47.8,49.5,34.1,34.8,29.2,36.4,65.5,-2.1
170,165,Rhode Island,A10,23,11-13  5–6,108.8,109.5,.4830,52.6,52.2,18.8,13,30.7,28.8,38.9,30.2,51.5,51.3,36.6,35.8,31.7,39,68.5,-6.8
171,166,Iona,MAAC,23,12-11  7–5,105.4,106.1,.4819,50.5,52.6,15,22.4,29.4,31.7,31.7,40.6,49.5,53.6,34.8,34.2,37.4,41.9,68,-7.5
172,167,Wyoming,MWC,21,12-11  5–5,107.2,108.0,.4806,50.4,52.7,19.9,15.8,29.2,30.3,39.1,25.6,48.5,54.3,35.8,33.4,36,39.7,67.3,-4.1
173,168,Loyola Marymount,WCC,23,10-14  3–7,106.8,107.8,.4743,50.6,49.3,17.1,12.9,30,26.4,30.9,29.9,48.6,49.6,35.7,32.2,40.3,29.4,66,-8.3
174,169,Colgate,Pat,24,17-8  11–1,104.1,105.1,.4727,52.6,48.2,16.9,16.2,26.3,25.3,24.9,25.8,50.9,49.6,36.7,30.7,40.4,39.3,66.2,-3.3
175,170,Illinois Chicago,MVC,24,10-15  3–11,101.1,102.1,.4714,51.7,47.3,18.7,17.2,23.6,28.1,24.3,36.7,50.2,49.1,35.9,29.2,41,34.4,68,-10
176,171,Georgetown,BE,24,8-16  1–12,110.0,111.2,.4687,48.5,54.7,18,16.8,33.8,31.8,35.1,31.5,47,56.5,33.9,34.4,41,37,67,-7
177,172,Cal Baptist,WAC,21,14-9  7–5,103.5,104.7,.4670,47.3,48.4,16.9,16.7,33.8,24.6,38.3,32.1,46.2,48.2,32.8,32.5,36.7,25.4,64.3,-6.1
178,173,Jacksonville St.,CUSA,22,12-13  4–6,101.8,103.1,.4642,48.4,49,20.1,18.1,33.3,26.2,34.6,34,49.7,48.6,30.2,33.1,28.6,36,64.4,-9.1
179,174,Louisville,ACC,25,8-17  3–11,106.8,108.1,.4638,48.7,53.7,18.1,16.6,30.4,27.4,40.5,32.9,49.5,54.2,31.3,35.3,30.9,38.8,69.8,-8.5
180,175,Gardner Webb,BSth,22,11-14  6–4,102.7,104.0,.4636,48.6,50.4,15.4,16.5,26,26.2,36.1,44.9,48,50.2,33.2,33.9,33.8,34.3,70.1,-8.9
181,Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,Efg%,EfgD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj,WAB
182,176,Ohio,MAC,23,13-11  7–4,109.4,110.8,.4631,52.8,50.4,14.1,18.1,28.2,31.7,32,35.9,52.6,49.9,35.5,34.1,40,37.7,67.5,-8.2
183,177,Eastern Kentucky,ASun,21,13-11  9–2,107.4,109.0,.4590,50.5,50.5,16.3,14.2,32.3,31,30.6,29,48.4,45.9,36.2,39.1,35.2,35.8,68.5,-6.7
184,178,UTEP,CUSA,21,13-11  4–5,97.1,98.6,.4552,47.3,50.9,21.9,26.3,28.8,31.2,47.8,46.6,48.6,53.3,29.7,30.6,31.5,32.2,70.6,-7.3
185,179,Saint Louis,A10,23,9-15  2–9,109.4,111.2,.4551,50.4,52.5,17.9,13.6,26.2,28.5,36,34.6,48,53.4,36.3,34.3,37,42.2,69.3,-8.4
186,180,Northern Colorado,BSky,22,15-9  8–3,110.1,111.9,.4538,55.7,53.2,16,15.6,24.2,24.6,29,30.1,56.5,51.7,36.3,37,37.2,39.5,70.3,-5.6
187,181,Columbia,Ivy,17,12-8  3–4,108.5,110.3,.4521,52.4,51,17.6,16.9,27.8,28.5,28.6,29.3,49.5,52.9,37.9,32.3,38.6,42.8,68.1,-5
188,182,Monmouth,CAA,25,13-12  6–6,104.6,106.4,.4506,49.5,50.4,16.4,18.1,29.1,32.7,32,33.1,46.9,50.1,36.1,33.9,35.9,44.1,67.9,-6.3
189,183,Fairfield,MAAC,23,15-9  9–4,107.7,109.6,.4501,52.6,51.3,16.7,20,28.2,32.6,28.6,27.8,51.2,52.8,36.5,32.4,40.5,35.9,68.6,-5.9
190,184,Hawaii,BW,23,14-11  6–7,104.5,106.4,.4499,52,49.5,18.4,16.2,27,24.5,39.5,35.4,54.6,49.8,32.4,32.3,43.3,26,66.1,-7.1
191,185,Texas A&M Corpus Chris,Slnd,20,14-10  7–4,99.6,101.4,.4490,44.8,49,17.6,20.3,33.3,24.9,37.4,50.3,45.4,49.7,28.9,31.9,30.6,37.4,69.1,-5.7
192,186,Tulsa,Amer,22,12-11  3–8,101.8,103.6,.4478,50.2,48.7,19.1,18.9,26,31.6,40.8,32.7,51.4,49.9,32.4,31.2,41.7,38.8,71.2,-6.7
193,187,Fordham,A10,23,10-13  4–6,101.8,103.7,.4459,47.6,49.9,18.2,20.1,32,27.4,36.7,43.6,47.2,48,32.2,36.3,41,28.4,70.1,-8.5
194,188,Vanderbilt,SEC,24,7-17  2–9,104.2,106.2,.4457,45.4,52.2,15.5,16,28.5,29.2,35.1,29.7,47.2,49.5,28.5,37.7,40.9,38.2,65.6,-8.4
195,189,Stony Brook,CAA,24,13-12  6–6,104.6,106.8,.4402,49.1,51.8,15.7,16.3,27.5,29,28.4,25.5,47.8,50.2,34.1,35.9,38,43.1,67.5,-6.6
196,190,Long Beach St.,BW,22,15-9  7–5,105.9,108.3,.4377,49.7,51.6,17.8,19.4,33,30.4,39,32.2,50.3,50.6,32.2,35.2,27.7,46.3,72.2,-4.8
197,191,Penn,Ivy,20,9-13  1–6,106.2,108.5,.4374,50.7,53.5,18,14.3,30.9,26.1,29.5,23.8,49.6,53.3,34.8,35.8,42.5,43,65.5,-7.3
198,192,UC Santa Barbara,BW,21,13-10  6–7,107.0,109.4,.4357,54.6,50,19.7,14.1,26.6,25.7,39,30.2,54.3,51.8,36.8,31,30,33,67.2,-6.8
199,193,Longwood,BSth,23,15-11  3–8,102.3,104.7,.4336,48,50.7,18.3,19.4,37,25.3,40,35.2,48.4,50.9,31.5,33.5,27.4,36.6,67.2,-7.7
200,194,Rice,Amer,23,9-15  3–8,105.4,108.0,.4307,50.2,52.7,18.3,15.6,29.5,29.4,29.6,27.2,50.7,51.7,32.9,36.2,41.2,38.2,66.7,-8.9
201,195,Harvard,Ivy,19,12-8  3–4,103.5,106.1,.4297,51.9,49.7,17.3,15.7,25.2,30.9,36.9,26.1,51.6,50.6,34.8,32.3,39.1,40.3,67.8,-4.2
202,196,San Jose St.,MWC,24,9-16  2–10,107.3,110.1,.4274,52.4,53.3,15.5,15.7,23.8,29.5,24,36.5,52.2,51.5,35.1,37.9,42,33.7,65.7,-9.9
203,197,Merrimack,NEC,23,15-10  9–2,95.4,98.0,.4250,49,45.8,19.4,23.4,23,35.5,36,33.5,52.6,44.9,29.3,31.8,42.1,31.7,67.6,-5.9
204,198,Sam Houston St.,CUSA,22,13-11  6–3,102.8,105.5,.4248,46.6,51.5,18.1,19,30.9,27,32.7,35,44.8,52.5,33.3,33.3,34.5,39,68.3,-5.7
205,199,Fresno St.,MWC,23,11-13  4–7,104.0,106.8,.4234,54,52.3,20.3,15.6,25.8,29.3,31,25.1,54.6,50.5,35.4,37,36.8,36.4,66.3,-7.1
206,200,Mount St. Mary's,MAAC,24,11-13  7–6,104.0,106.8,.4232,52.5,48.5,20.6,18.9,31.3,28.3,27.9,33.6,53.9,47.3,33.3,34,34.5,33.3,68.7,-9.5
207,Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,Efg%,EfgD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj,WAB
208,201,Kent St.,MAC,22,12-12  5–6,105.0,108.1,.4187,50.9,52.6,18.6,19.1,31.1,29.5,36.2,35,48.7,54,36.1,33.7,39.3,41,67.5,-8.2
209,202,George Washington,A10,23,14-10  3–8,105.0,108.1,.4185,50.6,48.4,17.5,14.8,26.6,30,35.3,22.2,49.8,47.3,34.5,33.4,40.3,39.3,72,-5.1
210,203,Northeastern,CAA,25,10-15  5–7,107.2,110.4,.4169,51.7,54.4,19.5,17,33.7,27.1,33.5,29.4,54,53.3,31.7,37.4,35.7,37.8,66.1,-10.3
211,204,Radford,BSth,23,13-12  3–7,106.7,109.9,.4163,51.5,50.7,17.1,16.2,30,31.8,25.9,34.2,49.1,51.9,37.1,32.5,36.4,37.5,63.5,-7.3
212,205,Georgia St.,SB,22,11-13  5–7,104.9,108.1,.4123,48.8,48.9,13.4,13.8,27.1,29.4,28.6,37.4,49.5,52,31.7,29.3,34.8,38.4,68.6,-8.8
213,206,Southern,SWAC,21,15-9  9–2,98.9,102.0,.4116,49,51,18.1,22.5,25.1,32.5,35.2,45.2,49.8,53.6,31.7,31.2,37.8,38,69.3,-3.5
214,207,Northern Kentucky,Horz,23,13-12  8–6,102.9,106.2,.4105,50.2,51.2,18.3,20.3,30.3,32.8,37.4,27.8,52.1,54.9,30.7,30.8,32.5,42.6,68,-7.5
215,208,Fort Wayne,Horz,23,16-9  7–7,101.8,105.2,.4070,53.5,51,15,23.1,22.2,31.8,33.7,33.8,52.9,53.1,36.2,31.4,42.7,34.9,71.7,-6
216,209,East Tennessee St.,SC,23,13-12  5–7,101.0,104.5,.4026,45.6,50.2,18,17.8,34.3,29.5,32.1,35.4,46.8,50.1,29.3,33.5,42.2,37.3,66.6,-7.6
217,210,Evansville,MVC,25,15-11  6–9,101.3,104.9,.4023,50.9,52,16.7,17.4,21.6,26,30.4,25.7,50.4,51.3,34.5,35.4,34.1,42.7,69.3,-4.7
218,211,Green Bay,Horz,24,17-9  12–3,104.4,108.1,.4008,53.6,48.8,19.1,14.5,27.9,27.7,27.8,34.2,53.9,50.7,35.6,30.2,48.1,35.4,63.6,-4.7
219,212,Utah Valley,WAC,22,10-14  5–8,97.9,101.5,.3991,46.2,49,18.7,18.7,26.9,27.8,40.3,38,48.3,48.1,27.7,33.8,31.7,35.6,68.5,-8.7
220,213,Illinois St.,MVC,25,12-14  6–9,100.2,103.9,.3980,46.7,51.2,17.5,17.2,28.9,25,38.1,28.5,49.9,52.1,27.4,33.1,37.2,38.8,64.4,-8
221,214,Marist,MAAC,22,13-9  8–5,97.1,100.7,.3947,51.3,47.4,18.2,21.7,22.4,27.3,26.8,35.9,50.1,47.4,35.5,31.6,36.8,38.3,65,-6.8
222,215,Lipscomb,ASun,24,16-10  7–4,110.9,115.4,.3891,55.9,53.6,14.5,16.1,23.4,30.3,28.8,23.6,56.4,52.9,36.8,36.5,41.4,37.2,69.2,-5.7
223,216,Cleveland St.,Horz,24,15-10  8–6,107.0,111.3,.3883,49.8,52.1,15.7,19.6,34.9,36.1,32,38.7,47.8,54.3,36,32.2,32.5,36.7,67.6,-5.8
224,217,Stetson,ASun,23,16-10  8–3,108.8,113.2,.3877,52.7,52,16.5,13.3,28.2,31,28.5,25,51.5,52.2,36.2,34.5,42.9,37.8,66,-5.1
225,218,Marshall,SB,24,12-13  7–5,101.7,105.8,.3876,48.1,50.2,16.9,16.2,29.5,28,32.2,28.6,49,50.1,31.2,33.6,41.5,36.6,71.3,-8.6
226,219,Wofford,SC,22,14-11  7–5,108.5,113.0,.3857,53.8,52.1,16.7,13.7,28.7,25.8,29.1,35.5,54.1,50.5,35.6,36.3,43.8,40.8,66.4,-6.1
227,220,Air Force,MWC,24,8-16  1–11,107.3,111.8,.3851,54.4,53.9,19.3,18.4,25.7,29.8,32.3,37.4,53.1,52,37.3,38,46.4,38,62.4,-10.6
228,221,Montana St.,BSky,22,11-14  6–6,102.4,106.7,.3833,52.6,52.8,17.2,18.7,20.4,27.8,31.7,39.5,52.3,55.4,35.3,31.7,40.4,33.7,68.3,-10.5
229,222,La Salle,A10,24,11-14  2–10,104.5,109.1,.3794,48.6,51.3,14.2,15.7,26.4,31.2,26.1,33,47.5,50.2,33.4,35.8,41.1,31.9,67.7,-8.3
230,223,Temple,Amer,23,8-16  1–10,101.3,105.7,.3790,44.5,51.2,15,18.2,29.6,29.6,31.3,35.5,44.6,51.7,29.6,33.7,44.7,39.1,67.8,-10.5
231,224,Southern Miss,SB,23,14-11  7–5,101.6,106.2,.3752,48.7,50.8,17.5,17.8,29,31,37.5,32.7,46,48.8,35.8,36.2,35,36,67.1,-6.8
232,225,Denver,Sum,22,14-12  5–6,110.5,115.7,.3726,52.7,54.6,14.1,14,29.6,27.9,37.1,31,50.6,54.1,37.4,37,39,33.7,71.3,-8.1
233,Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,Efg%,EfgD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj,WAB
234,226,Bowling Green,MAC,22,16-8  7–4,104.5,109.3,.3718,50,51.6,15.7,15.7,29.2,26.3,36.3,27.3,52.4,49.8,30.6,36.9,36.4,33.2,68.5,-5.3
235,227,Little Rock,OVC,25,14-11  8–4,105.5,110.4,.3708,51.5,49.3,17.5,17.8,32.2,31,33.7,37.7,52.2,49.9,33.5,32.1,32.6,37.4,69.9,-8.9
236,228,Cal St. Northridge,BW,23,16-9  7–6,100.6,105.5,.3653,49.3,48,19.5,17.9,32.4,26.1,38.9,38.1,50.4,47,30.6,32.8,26.1,46,73.5,-5.2
237,229,Saint Peter's,MAAC,21,11-11  7–6,96.5,101.2,.3650,44.1,49.3,19.8,21.4,34.5,27.6,36.8,45.6,42.7,49.5,31.3,32.6,33,37,63.9,-7.8
238,230,Pepperdine,WCC,24,10-16  3–8,105.5,110.7,.3648,49.9,55.1,16,17.2,29.1,25.5,31,35.7,49.2,54.3,34.1,37.8,32.5,31.5,67.2,-10.2
239,231,Texas St.,SB,23,11-14  4–8,97.1,102.0,.3636,46.2,49.3,20.5,17.4,31.2,28.4,34.1,38.2,46.3,51.3,30.6,30.6,24.8,35.8,66.5,-8.1
240,232,UMKC,Sum,23,11-15  5–6,101.5,106.6,.3629,49.9,52.3,18.5,16.7,31.4,25.6,27.4,44.6,48.2,53.4,34.8,33.5,43,34.6,66.7,-10.5
241,233,Cal St. Fullerton,BW,22,11-13  4–8,98.4,103.3,.3628,46.1,50.2,19.3,19.1,25.4,30.4,41.5,36.8,46.5,51.9,30.3,31.7,35.2,38.5,66.4,-7.7
242,234,San Diego,WCC,24,15-11  5–6,103.1,108.4,.3601,51,52.2,19.5,17.2,28,30.7,31.5,37,49.2,53.8,36.4,33.1,33.4,39.6,70.8,-5.4
243,235,New Hampshire,AE,22,14-9  6–4,100.2,105.5,.3562,48.7,48.5,16.6,16.1,23.7,26.5,30.4,26.5,48.2,52.4,32.9,27.8,42.8,36.5,71.6,-4.6
244,236,Norfolk St.,MEAC,20,15-9  5–2,101.7,107.1,.3549,47.4,49.8,19.4,21.9,32.3,32.5,42.8,42.9,47.1,49.2,32,33.6,31.9,46.4,66.3,-5.4
245,237,Western Illinois,OVC,21,15-10  8–4,99.4,104.8,.3542,47.2,47.2,20.7,14.4,37.3,27.6,34,26.5,46.1,47.9,33.2,30.3,29.4,30.4,64,-6.2
246,238,Nebraska Omaha,Sum,22,12-14  5–6,105.1,110.7,.3539,50,53.4,15.1,16,25.2,26.7,40.6,33.4,50.5,53.3,32.7,35.6,32.5,42.8,67.5,-10
247,239,North Florida,ASun,23,13-13  6–5,107.2,113.0,.3527,53.5,53.4,16.2,15,23.6,29.7,27.8,34.4,52.8,53.2,36,35.8,54.2,30.7,67,-8.8
248,240,South Alabama,SB,22,12-13  4–8,103.9,109.6,.3496,49.9,51.6,16.3,16.8,23.9,32.1,29.4,33.5,49.4,53.2,33.9,32.5,37.5,37.1,67.9,-8.6
249,241,North Dakota St.,Sum,22,12-13  5–5,105.9,111.8,.3490,53.2,53.9,16.5,13.6,23.7,25.7,32.2,30.7,50.6,53.1,38.7,37,35,33.3,66.3,-8.5
250,242,Mercer,SC,22,11-14  4–8,99.4,105.0,.3482,48.4,50.5,17.7,18.8,30.4,30.2,26.6,40.3,47.5,49.7,33.7,34.5,30.6,35.2,66.2,-9.6
251,243,Tennessee Martin,OVC,21,15-10  8–4,103.5,109.4,.3461,49.9,49.2,16.1,13.7,27.2,27.5,30.6,25,48,49.5,35.5,32.5,36.6,40.3,72.6,-6.3
